isuid,id,day of week,time of day,size.kb,box,domain,local,digits,name,cappct,special,credit,sucker,porn,chain,username,large text,spampct,category,spam
1,66,Sun,9,2,no,com,no,4,empty,0.5531915,2,no,no,no,no,no,no,NA,ord,no
1,67,Sun,10,1,yes,de,no,0,name,1,0,no,no,no,no,no,no,NA,ord,no
1,68,Sun,11,1,yes,edu,yes,0,name,0,3,no,no,no,no,no,no,NA,ord,no
1,69,Sun,12,9,yes,de,no,0,name,0.1714286,2,no,no,no,no,no,no,0,ord,no
1,70,Sun,14,2,yes,nz,no,0,name,0.9090909,2,no,no,no,no,no,no,NA,ord,no
1,71,Sun,15,4,yes,de,no,0,name,0.25,1,no,no,no,no,no,no,0,ord,no
1,72,Sun,16,2,yes,de,no,0,name,0.1538462,0,no,no,no,no,no,no,0,ord,no
1,73,Sun,16,1124,yes,de,no,0,name,0.1818182,0,no,no,no,no,no,no,NA,ord,no
1,74,Sun,17,4,no,edu,yes,0,name,0.1,4,no,no,no,yes,no,no,0,list,no
1,75,Sun,23,44,no,ca,no,0,name,0.2352941,6,no,no,no,no,no,no,NA,news,no
1,76,Mon,0,7,no,com,no,0,name,0.1935484,1,no,no,no,no,no,no,NA,news,no
1,77,Mon,2,5,no,uk,no,0,name,0.4166667,2,no,no,no,no,no,no,NA,list,no
1,78,Mon,6,2,no,com,no,0,empty,0.3333333,0,no,no,no,no,no,no,NA,news,no
1,79,Mon,6,2,no,hu,no,0,name,0.1428571,2,no,no,no,no,no,no,0,news,no
1,80,Mon,7,4,no,uk,no,1,name,0.2,0,no,no,no,no,no,no,NA,list,no
1,81,Mon,7,1112,yes,edu,yes,0,name,0.125,1,no,no,no,no,no,no,NA,news,no
1,82,Mon,7,3,no,com,no,0,name,0,0,no,no,no,no,no,no,NA,list,no
1,83,Mon,9,3,no,ca,no,0,name,0.05882353,1,no,no,no,yes,no,no,NA,list,no
1,84,Mon,9,3,yes,edu,yes,0,name,0,4,no,no,no,no,no,no,0,ord,no
1,85,Mon,9,3,yes,edu,yes,0,name,0,4,no,no,no,no,no,no,0,ord,no
1,86,Mon,10,4,yes,de,no,0,name,0.25,1,no,no,no,no,no,no,0,ord,no
1,87,Mon,10,4,no,uk,no,0,name,0.08,0,no,no,no,no,no,no,NA,list,no
1,88,Mon,10,4,no,uk,no,0,name,0.2,2,no,no,no,no,no,no,NA,list,no
1,89,Mon,10,3,no,edu,yes,0,name,0.07407407,3,no,no,no,no,no,no,13,list,no
1,90,Mon,11,2,no,nz,no,0,name,0.1785714,1,no,no,no,no,no,no,NA,list,no
1,91,Mon,11,5,yes,com,no,0,name,0.2173913,1,no,no,no,no,no,no,NA,ord,no
1,92,Mon,13,83,yes,edu,yes,0,name,0,1,no,no,no,no,no,no,NA,ord,no
1,93,Mon,14,0,no,de,no,0,single,0.1470588,5,no,no,no,no,no,no,NA,ord,no
1,94,Mon,15,9,no,cy,no,0,name,0.0967742,0,no,no,no,no,no,no,NA,list,no
1,95,Mon,15,3,no,edu,yes,0,name,0,3,no,no,no,yes,no,no,13,list,no
1,96,Mon,15,2,yes,edu,yes,0,name,0,0,no,no,no,no,no,no,NA,ord,no
1,97,Mon,19,5,no,com,no,0,name,0.1395349,2,no,no,no,no,no,no,28,ord,no
1,98,Mon,19,4,yes,com,no,0,name,0.12,0,no,no,no,no,no,no,28,ord,no
1,99,Mon,10,6,no,com,no,0,name,0.3333333,0,no,no,no,no,no,yes,NA,com,yes
1,100,Mon,20,27,no,de,no,0,empty,0.1034483,4,no,no,no,no,no,no,NA,com,yes
1,101,Mon,20,3,no,com,no,0,empty,0.04166667,0,no,no,no,no,no,no,21,ord,no
1,102,Mon,20,4,no,com,no,0,name,0.2222222,0,no,no,no,no,no,no,0,ord,no
1,103,Mon,20,2,no,com,no,0,empty,0.08333333,1,no,no,no,no,no,no,42,ord,no
1,104,Mon,22,3,no,com,no,0,name,1,0,no,no,no,no,no,no,NA,list,no
1,105,Mon,23,8,no,ca,no,0,name,0.2352941,6,no,no,no,no,no,no,NA,news,no
1,106,Mon,23,3,no,ca,no,1,name,0.04878049,1,no,no,no,no,no,no,NA,list,no
1,107,Tue,3,2,no,com,no,0,empty,0.3333333,0,no,no,no,no,no,no,NA,news,no
1,108,Tue,3,3,no,kw,no,1,name,0.06382979,0,no,no,no,no,no,no,NA,list,no
1,109,Tue,4,3,no,uk,no,0,name,0.1136364,2,no,no,no,no,no,no,NA,list,no
1,110,Tue,6,3,no,uk,no,0,name,0.1372549,3,no,no,no,no,no,no,NA,list,no
1,111,Wed,1,3,yes,de,no,0,name,0.1666667,2,no,no,no,no,no,no,NA,ord,no
1,112,Tue,6,2,no,uk,no,0,name,0.2794118,1,no,no,no,no,no,no,NA,ord,no
1,113,Tue,7,3,yes,edu,yes,0,name,0.1428571,1,no,no,no,no,no,no,NA,ord,no
1,114,Tue,7,580,yes,edu,yes,0,name,0.125,1,no,no,no,no,no,no,NA,ord,no
1,115,Tue,7,12,no,de,no,0,name,0.02325581,1,no,no,no,no,no,no,3,ord,no
1,116,Tue,8,3,yes,de,no,0,empty,0.25,1,no,no,no,no,no,no,9,ord,no
1,117,Tue,8,3,no,com,no,0,name,0.32,1,no,no,no,no,no,no,NA,list,no
1,118,Tue,8,2,yes,de,no,0,name,0.1428571,0,no,no,no,no,no,no,0,ord,no
1,119,Tue,9,3,no,edu,yes,0,name,0.2333333,2,no,no,no,no,no,no,13,list,no
1,120,Tue,10,4,no,uk,no,0,name,0.2063492,5,no,no,no,no,no,no,NA,list,no
1,121,Tue,10,3,no,com,no,0,name,0.0909091,1,no,no,no,no,no,no,NA,list,no
1,122,Tue,10,3,no,uk,no,0,name,0.1052632,1,no,no,no,no,no,no,NA,list,no
1,123,Tue,11,3,no,edu,yes,0,name,0.05405405,2,no,no,no,no,no,no,20,list,no
1,124,Tue,12,3,no,edu,yes,0,name,0.125,2,no,no,no,no,no,no,13,list,no
1,125,Tue,13,5,no,uk,no,0,name,0.0952381,0,no,no,no,no,no,no,NA,list,no
1,126,Tue,13,1337,yes,edu,yes,0,name,0.03846154,4,no,no,no,no,no,no,NA,ord,no
1,127,Tue,13,0,no,de,no,0,single,0.1470588,5,no,no,no,no,no,no,NA,ord,no
1,128,Tue,14,63,no,com,no,0,name,0.45,13,no,yes,no,no,no,yes,73,com,yes
1,129,Tue,15,3,no,edu,yes,0,empty,0.1428571,1,no,no,no,no,no,no,NA,ord,no
1,130,Tue,23,27,no,ca,no,0,name,0.2352941,6,no,no,no,no,no,no,NA,news,no
1,131,Wed,2,4,no,de,no,0,empty,0.2857143,0,no,no,no,no,no,no,NA,ord,no
1,132,Wed,5,3,no,uk,no,0,name,0.3225806,1,no,no,no,no,no,no,NA,list,no
1,133,Wed,7,2,no,com,no,0,empty,0.3333333,0,no,no,no,no,no,no,NA,news,no
1,134,Wed,7,4,no,net,no,0,name,0,0,no,no,no,no,no,no,NA,list,no
1,135,Wed,11,19,no,de,no,0,name,0.0882353,1,no,no,no,no,no,yes,NA,com,yes
1,136,Wed,8,4,no,ch,no,0,name,0.1142857,1,no,no,no,no,no,no,NA,list,no
1,137,Wed,8,4,yes,de,no,0,name,0.25,1,no,no,no,no,no,no,0,ord,no
1,138,Wed,8,1210,yes,edu,yes,0,name,0.125,1,no,no,no,no,no,no,NA,ord,no
1,139,Wed,8,0,no,de,no,0,single,0.1470588,5,no,no,no,no,no,no,NA,ord,no
1,140,Wed,8,1212,no,de,no,0,empty,0,0,no,no,no,no,no,no,9,ord,no
1,141,Wed,9,3,no,uk,no,0,name,0.1346154,1,no,no,no,no,no,no,NA,list,no
1,142,Wed,9,5,no,ch,no,0,name,0.1153846,3,no,no,no,no,no,no,NA,list,no
1,143,Wed,9,3,no,uk,no,0,name,0.1388889,3,no,no,no,no,no,no,NA,list,no
1,144,Wed,9,5,no,uk,no,0,name,0.1833333,2,no,no,no,no,no,no,NA,list,no
1,145,Wed,10,4,yes,edu,yes,0,name,0,4,no,no,no,no,no,no,NA,ord,no
1,146,Wed,10,3,no,uk,no,0,name,0.1363636,0,no,no,no,no,no,no,NA,list,no
1,147,Wed,10,3,no,uk,no,0,name,0.1282051,3,no,no,no,no,no,no,NA,list,no
1,148,Wed,10,3,no,uk,no,0,name,0.3913043,1,no,no,no,no,no,no,NA,list,no
1,149,Wed,10,2,no,uk,no,0,name,0.3428571,1,no,no,no,no,no,no,NA,list,no
1,150,Wed,10,4,yes,de,no,0,name,0.25,1,no,no,no,no,no,no,NA,ord,no
1,151,Wed,11,3,no,uk,no,0,name,0.3958333,3,no,no,no,no,no,no,NA,list,no
1,152,Wed,11,3,no,uk,no,0,name,0.1372549,1,no,no,no,no,no,no,NA,list,no
1,153,Wed,12,3,no,uk,no,0,name,0.05555556,1,no,no,no,no,no,no,NA,list,no
1,154,Wed,14,2,no,edu,yes,0,name,0.04347826,2,no,no,no,no,no,no,13,list,no
1,155,Wed,14,3,no,com,no,0,name,0.147541,3,no,no,no,yes,no,no,20,list,no
1,156,Wed,14,4,no,edu,yes,0,name,0.1578947,4,no,no,no,no,no,no,0,list,no
1,157,Wed,15,2,no,com,no,0,empty,0.3333333,0,no,no,no,no,no,no,NA,news,no
1,158,Wed,15,4,yes,de,no,0,name,0.2,0,no,no,no,no,no,no,0,ord,no
1,159,Wed,16,3,no,edu,yes,0,name,0.1363636,0,no,no,no,no,no,no,NA,ord,no
1,160,Thu,0,13,no,de,no,1,name,0.1111111,2,no,no,no,no,no,yes,NA,com,yes
1,161,Wed,18,3,no,edu,yes,0,name,0.1428571,6,no,no,no,yes,no,no,0,ord,no
1,162,Wed,23,80,no,ca,no,0,name,0.2352941,6,no,no,no,no,no,no,NA,news,no
1,163,Thu,1,60,no,de,no,0,name,0.02325581,3,no,no,no,no,no,no,NA,news,no
2,26,Thu,0,2,yes,edu,yes,0,name,0.19,0,no,no,no,no,no,no,NA,list,no
2,27,Thu,2,8,yes,edu,yes,0,name,0.14,0,no,no,no,no,no,no,NA,ord,no
2,28,Thu,2,4,no,ca,no,0,empty,0.35,3,no,yes,no,no,no,no,53,com,yes
2,29,Thu,2,3,yes,edu,yes,0,name,0.1,0,no,no,no,no,no,no,NA,ord,no
2,30,Thu,6,3,no,com,no,2,single,0.03,0,no,no,no,no,yes,no,70,com,yes
2,31,Thu,6,5,yes,edu,yes,0,name,0.06,0,no,no,no,no,no,no,NA,ord,no
2,32,Thu,7,4,no,com,no,0,empty,0.1,0,no,no,no,no,no,no,63,com,yes
2,33,Thu,7,2,yes,edu,yes,0,name,0.06,0,no,no,no,no,no,no,NA,list,no
2,34,Thu,8,2,yes,edu,yes,0,name,0.21,0,no,no,no,no,no,no,NA,ord,no
2,35,Thu,8,8,no,com,no,0,name,0.32,0,no,no,no,no,no,no,50,com,yes
2,36,Thu,8,23,no,com,no,2,name,0.02,20,no,no,no,no,no,yes,86,com,yes
2,37,Thu,9,2,no,edu,yes,0,empty,0.05,0,no,no,no,no,no,no,NA,ord,no
2,38,Thu,9,9,yes,edu,yes,0,name,0.14,0,no,no,no,no,no,no,NA,ord,no
2,39,Thu,9,6,no,com,no,0,name,0.16,4,no,no,no,no,no,no,34,com,yes
2,40,Thu,9,10,yes,edu,yes,0,name,0.14,0,no,no,no,no,no,no,NA,ord,no
2,41,Thu,10,4,no,edu,no,0,name,0.02,1,no,no,no,no,no,no,14,list,no
2,42,Thu,10,11,yes,edu,yes,0,name,0.14,0,no,no,no,no,no,no,NA,ord,no
2,43,Thu,10,33,yes,edu,yes,0,name,0.11,0,no,no,no,no,no,no,16,ord,no
2,44,Thu,11,5,no,org,no,0,name,0.04,0,no,no,no,no,no,no,0,list,no
2,45,Thu,10,2,yes,edu,yes,0,name,0.08,1,no,no,no,no,no,no,NA,ord,no
2,46,Thu,10,6,no,edu,yes,0,name,0.08,0,no,no,no,no,no,no,13,list,no
2,47,Thu,10,3,yes,edu,yes,0,name,0.02,0,no,no,no,no,no,no,0,ord,no
2,48,Thu,10,2,yes,edu,yes,0,name,0.07,0,no,no,no,no,no,no,NA,ord,no
2,49,Thu,10,2,yes,edu,yes,0,name,0.2,0,no,no,no,no,no,no,NA,ord,no
2,50,Thu,10,6,no,edu,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,51,Thu,16,4,no,uk,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,52,Thu,8,5,no,edu,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,53,Thu,8,5,no,org,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,54,Thu,12,2,yes,com,no,0,name,0.02,0,no,no,no,no,no,no,0,list,no
2,55,Thu,11,5,yes,edu,yes,0,name,0.06,0,no,no,no,no,no,no,50,ord,no
2,56,Thu,18,3,no,at,no,0,name,0,0,no,no,no,no,no,no,13,ord,no
2,57,Thu,9,3,yes,com,no,0,name,0.25,0,no,no,no,no,no,no,0,ord,no
2,58,Thu,9,6,no,edu,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,59,Thu,17,8,no,uk,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,60,Thu,17,6,no,uk,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,61,Thu,9,9,no,edu,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,62,Thu,11,6,yes,edu,yes,0,name,0.13,0,no,no,no,no,no,no,13,list,no
2,63,Thu,12,16,no,com,no,0,name,0.18,0,no,no,no,no,no,no,55,com,yes
2,64,Thu,18,4,no,de,no,0,name,0.04,1,no,no,no,yes,no,no,0,list,no
2,65,Thu,12,8,no,net,no,0,name,0.1,0,no,no,no,no,no,no,57,com,yes
2,66,Thu,10,8,no,org,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,67,Thu,19,6,no,fr,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,68,Thu,10,8,no,edu,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,69,Thu,12,3,yes,edu,yes,0,name,0.14,0,no,no,no,no,no,no,13,list,no
2,70,Thu,12,2,yes,edu,yes,0,name,0.16,0,no,no,no,no,no,no,NA,list,no
2,71,Thu,13,5,yes,com,no,0,name,0.04,2,no,no,no,yes,no,no,0,list,no
2,72,Thu,14,3,yes,com,no,0,name,0.02,0,no,no,no,no,no,no,0,list,no
2,73,Thu,13,3,no,edu,yes,0,name,0,0,no,no,no,yes,no,no,13,list,no
2,74,Thu,15,56,no,com,no,0,name,0.14,0,no,no,no,no,no,no,70,news,yes
2,75,Thu,13,3,yes,edu,yes,0,name,0.07,0,no,no,no,no,no,no,NA,list,no
2,76,Thu,13,3,no,edu,yes,0,name,0.05,0,no,no,no,yes,no,no,0,list,no
2,77,Thu,14,26,yes,edu,yes,0,name,0.04,0,no,no,no,no,no,no,NA,list,no
2,78,Thu,14,2,yes,edu,yes,0,name,0.05,0,no,no,no,no,no,no,NA,list,no
2,79,Thu,2,4,no,edu,yes,0,name,0.07,0,no,no,no,yes,no,no,13,list,no
2,80,Thu,15,4,yes,com,no,0,name,0.07,0,no,no,no,no,no,no,0,list,no
2,81,Thu,15,2,yes,edu,yes,0,name,0.17,0,no,no,no,no,no,no,NA,list,no
2,88,Thu,16,9,no,edu,no,0,name,0.18,0,no,no,no,no,no,no,0,ord,no
2,89,Thu,16,3,yes,edu,yes,0,name,0.11,0,no,no,no,no,no,no,NA,ord,no
2,90,Thu,16,3,no,gov,no,0,name,0.08,0,no,no,no,no,no,no,0,list,no
2,91,Thu,16,9,yes,edu,no,0,name,0.19,0,no,no,no,no,no,no,0,ord,no
2,92,Thu,16,3,yes,edu,no,0,name,0.15,2,no,no,no,no,no,no,0,ord,no
2,93,Thu,16,4,no,edu,yes,0,name,0.1,0,no,no,no,yes,no,no,0,list,no
2,94,Thu,18,8,no,com,no,0,single,0.83,0,no,no,no,no,no,no,76,com,yes
2,95,Thu,19,2,yes,edu,yes,0,name,0.08,0,no,no,no,no,no,no,NA,ord,no
2,96,Fri,10,12,no,com,no,4,single,0.03,0,no,no,no,no,yes,no,72,com,yes
2,97,Thu,20,113,no,com,no,0,single,0.08,0,no,no,no,yes,no,no,46,com,yes
2,98,Thu,18,16,no,com,no,0,name,0.18,0,no,no,no,no,no,no,75,com,yes
2,99,Thu,10,5,yes,com,no,0,name,0.19,0,no,no,no,no,no,no,57,com,no
2,100,Thu,19,6,no,com,no,5,single,0.06,3,no,no,no,no,no,no,97,com,yes
2,101,Thu,23,3,yes,edu,yes,0,empty,0,0,no,no,no,yes,no,no,21,list,no
2,102,Thu,23,4,no,edu,yes,0,name,0.05,0,no,no,no,yes,no,no,0,list,no
2,103,Thu,23,9,yes,edu,yes,0,name,0.14,0,no,no,no,no,no,no,0,ord,no
2,104,Fri,8,12,yes,fr,no,0,name,0.45,0,no,no,no,no,no,no,13,list,yes
2,105,Fri,3,4,no,com,no,0,empty,0.11,3,no,no,no,no,yes,no,88,com,yes
2,106,Fri,16,2,no,ph,no,0,name,0,0,no,no,no,no,no,no,29,ord,no
2,107,Fri,10,9,no,uk,no,0,name,0.04,1,no,no,no,no,no,no,0,list,no
2,108,Fri,14,9,no,com,no,0,name,0.07,1,no,no,no,no,no,no,93,com,yes
2,109,Thu,16,4,no,com,no,0,single,0,0,no,no,no,no,no,no,98,com,yes
2,110,Fri,6,7,no,com,no,0,name,0.35,0,no,no,no,no,no,no,34,com,yes
2,111,Fri,7,4,yes,org,no,0,name,0.17,0,no,no,no,no,no,no,0,ord,no
2,112,Fri,8,3,yes,edu,yes,0,name,0.11,0,no,no,no,no,no,no,NA,ord,no
2,113,Fri,8,4,yes,edu,yes,0,name,0,0,no,no,no,no,no,no,NA,ord,no
2,114,Fri,9,2,yes,org,no,0,name,0.17,0,no,no,no,no,no,no,0,ord,no
2,115,Fri,8,3,yes,edu,yes,0,single,0.15,0,no,no,no,no,no,no,NA,list,no
2,116,Fri,10,9,yes,edu,no,0,name,0.23,0,no,no,no,no,no,no,0,ord,no
2,117,Fri,8,45,no,com,no,0,single,0.22,1,no,no,no,no,no,no,39,com,yes
2,118,Fri,10,3,yes,edu,yes,0,name,0.1,0,no,no,no,no,no,no,13,list,no
2,119,Fri,12,154,yes,cz,no,0,name,0.1,0,no,no,no,no,no,no,NA,ord,no
2,120,Fri,11,5,yes,edu,yes,0,name,0.38,0,no,no,no,no,no,no,NA,ord,no
2,121,Fri,12,9,yes,de,no,0,name,0.13,0,no,no,no,no,no,no,0,ord,no
2,122,Fri,10,2,yes,com,no,0,name,0.17,0,no,no,no,no,no,no,13,ord,no
2,123,Fri,12,3,yes,edu,yes,0,name,0.06,0,no,no,no,no,no,no,NA,ord,no
2,124,Fri,12,2,yes,edu,yes,0,name,0.25,0,no,no,no,no,no,no,NA,list,no
2,125,Fri,13,2,yes,edu,yes,0,empty,0,0,no,no,no,no,no,no,NA,ord,no
2,126,Fri,14,13,no,com,no,0,name,0.1,0,no,no,no,no,no,no,74,com,yes
2,127,Fri,14,2,no,edu,yes,0,name,0.07,0,no,no,no,no,no,no,NA,list,no
2,128,Fri,14,11,yes,edu,yes,0,name,0,0,no,no,no,no,no,no,NA,list,no
2,129,Fri,15,13,no,com,no,0,name,0.11,0,no,no,no,no,no,no,74,com,yes
2,130,Fri,14,9,yes,edu,yes,0,name,0.15,0,no,no,no,no,no,no,0,list,no
2,131,Fri,14,12,yes,edu,yes,0,name,0.02,0,no,no,no,no,no,no,NA,list,no
2,132,Fri,15,2,yes,edu,yes,0,name,0,0,no,no,no,no,no,no,NA,list,no
2,133,Fri,14,9,no,com,no,4,single,0.11,0,no,yes,no,no,no,yes,82,com,yes
2,134,Fri,1,28,no,com,no,0,single,0.03,0,no,no,no,no,no,yes,86,com,yes
2,135,Fri,16,2,yes,edu,yes,0,name,0.09,0,no,no,no,no,no,no,NA,list,no
2,136,Fri,17,61,yes,edu,yes,0,name,0.14,0,no,no,no,no,no,no,26,list,no
2,137,Fri,17,93,yes,edu,yes,0,name,0,0,no,no,no,no,no,no,36,list,no
2,138,Fri,17,293,yes,edu,yes,0,name,0,0,no,no,no,no,no,no,NA,list,no
2,139,Fri,17,51,yes,edu,yes,0,name,0.08,0,no,no,no,no,no,no,NA,list,no
2,140,Fri,17,4,no,edu,yes,0,name,0.08,0,no,no,no,yes,no,no,0,list,no
2,141,Fri,18,2,yes,edu,yes,0,name,0.03,0,no,no,no,no,no,no,NA,list,no
2,142,Fri,19,86,yes,edu,yes,0,name,0.13,0,no,no,no,no,no,no,NA,list,no
2,143,Fri,21,9,no,net,no,0,name,0.65,0,no,no,no,no,no,no,76,com,yes
2,144,Sat,0,11,yes,edu,yes,0,single,0.19,0,no,no,no,no,no,no,NA,list,no
2,145,Sat,1,10,no,net,no,0,name,0.44,1,no,no,no,no,no,no,76,com,yes
2,146,Sat,1,7,no,com,no,0,single,0,0,yes,no,no,no,no,no,96,com,yes
2,147,Sat,1,4,no,com,no,0,name,0.05,0,no,no,no,no,no,no,95,com,yes
2,148,Fri,14,12,yes,edu,yes,0,name,0.02,0,no,no,no,no,no,no,NA,ord,no
2,149,Fri,12,2,no,edu,yes,0,name,0,0,no,no,yes,no,no,no,NA,ord,no
